Date,Time,AMPM,ROWS,COLUMN,Serial
5/12/2023,2:42:16,PM,0,0,SBBHJ97
5/12/2023,2:42:16,PM,0,1,SBBHJ96
5/12/2023,2:42:16,PM,0,2,SBBHJ95
5/12/2023,2:42:16,PM,0,3,SBBHJ94
5/12/2023,2:42:16,PM,0,4,SBBHJ93
5/12/2023,2:42:17,PM,0,5,SBBHJ92
5/12/2023,2:42:17,PM,0,6,SBBHJ91
5/12/2023,2:42:17,PM,0,7,SBBHJ90
5/12/2023,2:42:17,PM,0,8,SBBHJ9Z
5/12/2023,2:42:17,PM,0,9,SBBHJ9W
5/12/2023,2:42:17,PM,1,0,SBBHJ9V
5/12/2023,2:42:18,PM,1,1,SBBHJ9T
5/12/2023,2:42:18,PM,1,2,SBBHJ9S
5/12/2023,2:42:18,PM,1,3,SBBHJ9R
5/12/2023,2:42:18,PM,1,4,SBBHJ9P
5/12/2023,2:42:18,PM,1,5,SBBHJ9N
5/12/2023,2:42:19,PM,1,6,SBBHJ9M
5/12/2023,2:42:19,PM,1,7,SBBHJ9L
5/12/2023,2:42:19,PM,1,8,SBBHJ9K
5/12/2023,2:42:19,PM,1,9,SBBHJ9J
5/12/2023,2:42:19,PM,2,0,SBBHJ9H
5/12/2023,2:42:19,PM,2,1,SBBHJ9G
5/12/2023,2:42:20,PM,2,2,SBBHJ9F
5/12/2023,2:42:20,PM,2,3,SBBHJ9D
5/12/2023,2:42:20,PM,2,4,SBBHJ9C
5/12/2023,2:42:20,PM,2,5,SBBHJ9B
5/12/2023,2:42:20,PM,2,6,SBBHJ89
5/12/2023,2:42:20,PM,2,7,SBBHJ88
5/12/2023,2:42:21,PM,2,8,SBBHJ87
5/12/2023,2:42:55,PM,3,0,SBBHJ86
5/12/2023,2:42:56,PM,3,5,SBBHJ85
5/12/2023,2:42:57,PM,4,3,SBBHJ84
5/12/2023,2:42:57,PM,4,4,SBBHJ83
5/12/2023,2:42:58,PM,4,7,SBBHJ82
5/12/2023,2:42:58,PM,4,8,SBBHJ81
5/12/2023,2:42:58,PM,4,9,SBBHJ51
5/12/2023,2:42:58,PM,5,0,SBBHJ50
5/12/2023,2:42:59,PM,5,2,SBBHJ5Z
5/12/2023,2:42:59,PM,5,3,SBBHJ5W
5/12/2023,2:42:59,PM,5,4,SBBHJ5V
5/12/2023,2:42:59,PM,5,5,SBBHJ5T
5/12/2023,2:43:00,PM,5,6,SBBHJ5S
5/12/2023,2:43:00,PM,5,7,SBBHJ5R
5/12/2023,2:43:00,PM,5,8,SBBHJ5P
5/12/2023,2:43:00,PM,5,9,SBBHJ5N
5/12/2023,2:43:00,PM,6,0,SBBHJ5M
5/12/2023,2:43:00,PM,6,1,SBBHJ5L
5/12/2023,2:43:01,PM,6,2,SBBHJ5K
5/12/2023,2:43:01,PM,6,3,SBBHJ5J
5/12/2023,2:43:01,PM,6,4,SBBHJ5H
5/12/2023,2:43:01,PM,6,5,SBBHJ5G
5/12/2023,2:43:01,PM,6,6,SBBHJ5F
5/12/2023,2:43:02,PM,6,7,SBBHJ5D
5/12/2023,2:43:02,PM,6,8,SBBHJ5C
5/12/2023,2:43:02,PM,6,9,SBBHJ5B
5/12/2023,2:43:02,PM,7,0,SBBHJ49
5/12/2023,2:43:02,PM,7,1,SBBHJ48
5/12/2023,2:43:02,PM,7,2,SBBHJ47
5/12/2023,2:43:03,PM,7,3,SBBHJ46
5/12/2023,2:43:03,PM,7,4,SBBHJ45
5/12/2023,2:43:03,PM,7,5,SBBHJ44
5/12/2023,2:43:03,PM,7,6,SBBHJ43
5/12/2023,2:43:03,PM,7,7,SBBHJ42
5/12/2023,2:43:03,PM,7,8,SBBHJ41
5/12/2023,2:43:04,PM,7,9,SBBHJ40
5/12/2023,2:46:11,PM,0,0,SBBHJZM
5/12/2023,2:46:11,PM,0,1,SBBHJZL
5/12/2023,2:46:11,PM,0,2,SBBHJZK
5/12/2023,2:46:12,PM,0,3,SBBHJZJ
5/12/2023,2:46:12,PM,0,4,SBBHJZH
5/12/2023,2:46:12,PM,0,5,SBBHJZG
5/12/2023,2:46:12,PM,0,6,SBBHJZF
5/12/2023,2:46:12,PM,0,7,SBBHJZD
5/12/2023,2:46:12,PM,0,8,SBBHJZC
5/12/2023,2:46:13,PM,0,9,SBBHJZB
5/12/2023,2:46:13,PM,1,0,SBBHJW9
5/12/2023,2:46:32,PM,0,0,SBBHJW8
5/12/2023,2:46:32,PM,0,1,SBBHJW7
5/12/2023,2:46:32,PM,0,2,SBBHJW6
5/12/2023,2:46:32,PM,0,3,SBBHJW5
5/12/2023,2:46:32,PM,0,4,SBBHJW4
5/12/2023,2:46:32,PM,0,5,SBBHJW3
5/12/2023,2:46:33,PM,0,6,SBBHJW2
5/12/2023,2:46:33,PM,0,7,SBBHJW1
5/12/2023,2:46:33,PM,0,8,SBBHJW0
5/12/2023,2:46:33,PM,0,9,SBBHJWZ
5/12/2023,2:46:33,PM,1,0,SBBHJWW
5/12/2023,2:46:34,PM,1,1,SBBHJWV
5/12/2023,2:46:34,PM,1,2,SBBHJWT
5/12/2023,2:46:34,PM,1,3,SBBHJWS
5/12/2023,2:46:34,PM,1,4,SBBHJWR
5/12/2023,2:46:34,PM,1,5,SBBHJWP
5/12/2023,2:46:35,PM,1,6,SBBHJWN
5/12/2023,2:46:35,PM,1,7,SBBHJWM
5/12/2023,2:46:35,PM,1,8,SBBHJWL
5/12/2023,2:46:35,PM,1,9,SBBHJWK
5/12/2023,2:46:35,PM,2,0,SBBHJWJ
5/12/2023,2:46:36,PM,2,1,SBBHJWH
5/12/2023,2:46:36,PM,2,2,SBBHJWG
5/12/2023,2:46:36,PM,2,3,SBBHJWF
5/12/2023,2:46:36,PM,2,4,SBBHJWD
5/12/2023,2:46:36,PM,2,5,SBBHJWC
5/12/2023,2:46:37,PM,2,6,SBBHJWB
5/12/2023,2:46:37,PM,2,7,SBBHJV9
5/12/2023,2:46:37,PM,2,8,SBBHJV8
5/12/2023,2:46:37,PM,2,9,SBBHJV7
5/12/2023,2:46:37,PM,3,0,SBBHJV6
5/12/2023,2:46:38,PM,3,1,SBBHJV5
5/12/2023,2:46:38,PM,3,2,SBBHJV4
5/12/2023,2:46:38,PM,3,3,SBBHJV3
5/12/2023,2:46:38,PM,3,4,SBBHJV2
5/12/2023,2:46:38,PM,3,5,SBBHJV1
5/12/2023,2:46:38,PM,3,6,SBBHJV0
5/12/2023,2:46:39,PM,3,7,SBBHJVZ
5/12/2023,2:46:39,PM,3,8,SBBHJVW
5/12/2023,2:46:39,PM,3,9,SBBHJVV
5/12/2023,2:46:39,PM,4,0,SBBHJVT
5/12/2023,2:46:39,PM,4,1,SBBHJVS
5/12/2023,2:46:40,PM,4,2,SBBHJVR
5/12/2023,2:46:40,PM,4,3,SBBHJVP
5/12/2023,2:46:40,PM,4,4,SBBHJVN
5/12/2023,2:46:40,PM,4,5,SBBHJVM
5/12/2023,2:46:40,PM,4,6,SBBHJVL
5/12/2023,2:46:40,PM,4,7,SBBHJVK
5/12/2023,2:46:41,PM,4,8,SBBHJVJ
5/12/2023,2:46:41,PM,4,9,SBBHJVH
5/12/2023,2:46:41,PM,5,0,SBBHJVG
5/12/2023,2:46:41,PM,5,1,SBBHJVF
5/12/2023,2:46:41,PM,5,2,SBBHJVD
5/12/2023,2:46:42,PM,5,3,SBBHJSF
5/12/2023,2:46:42,PM,5,4,SBBHJSD
5/12/2023,2:46:42,PM,5,5,SBBHJSC
5/12/2023,2:46:42,PM,5,6,SBBHJSB
5/12/2023,2:46:42,PM,5,7,SBBHJR9
5/12/2023,2:46:42,PM,5,8,SBBHJR8
5/12/2023,2:46:43,PM,5,9,SBBHJR7
5/12/2023,2:46:43,PM,6,0,SBBHJR6
5/12/2023,2:46:43,PM,6,1,SBBHJR5
5/12/2023,2:46:43,PM,6,2,SBBHJR4
5/12/2023,2:46:43,PM,6,3,SBBHJR3
5/12/2023,2:46:44,PM,6,4,SBBHJR2
5/12/2023,2:46:44,PM,6,5,SBBHJR1
5/12/2023,2:46:44,PM,6,6,SBBHJR0
5/12/2023,2:46:44,PM,6,7,SBBHJRZ
5/12/2023,2:46:44,PM,6,8,SBBHJRW
5/12/2023,2:46:44,PM,6,9,SBBHJRV
5/12/2023,2:46:45,PM,7,0,SBBHJRT
5/12/2023,2:46:45,PM,7,1,SBBHJRS
5/12/2023,2:46:45,PM,7,2,SBBHJRR
5/12/2023,2:46:45,PM,7,3,SBBHJRP
5/12/2023,2:46:45,PM,7,4,SBBHJRN
5/12/2023,2:46:46,PM,7,5,SBBHJRM
5/12/2023,2:46:46,PM,7,6,SBBHJRL
5/12/2023,2:46:46,PM,7,7,SBBHJRK
5/12/2023,2:46:46,PM,7,8,SBBHJRJ
5/12/2023,2:46:46,PM,7,9,SBBHJRH
5/17/2023,3:40:45,PM,0,0,SBBHHDT
5/17/2023,3:40:45,PM,0,1,SBBHHDS
5/17/2023,3:40:45,PM,0,2,SBBHHDR
5/17/2023,3:40:45,PM,0,3,SBBHHDP
5/17/2023,3:40:45,PM,0,4,SBBHHDN
5/17/2023,3:40:46,PM,0,5,SBBHHDM
5/17/2023,3:40:46,PM,0,6,SBBHHDL
5/17/2023,3:40:46,PM,0,7,SBBHHDK
5/17/2023,3:40:46,PM,0,8,SBBHHDJ
5/17/2023,3:40:46,PM,0,9,SBBHHDH
5/17/2023,3:40:46,PM,1,0,SBBHHDG
5/17/2023,3:40:47,PM,1,1,SBBHHDF
5/17/2023,3:40:47,PM,1,2,SBBHHDD
5/17/2023,3:40:47,PM,1,3,SBBHHDC
5/17/2023,3:40:47,PM,1,4,SBBHHDB
5/17/2023,3:40:47,PM,1,5,SBBHHC9
5/17/2023,3:40:48,PM,1,6,SBBHHC8
5/17/2023,3:40:48,PM,1,7,SBBHHC7
5/17/2023,3:40:48,PM,1,8,SBBHHC6
5/17/2023,3:40:48,PM,1,9,SBBHHC5
5/17/2023,3:40:48,PM,2,0,SBBHHC4
5/17/2023,3:40:48,PM,2,1,SBBHHC3
5/17/2023,3:40:49,PM,2,2,SBBHHC2
5/17/2023,3:40:49,PM,2,3,SBBHHC1
5/17/2023,3:40:49,PM,2,4,SBBHHC0
5/17/2023,3:40:49,PM,2,5,SBBHHCZ
5/17/2023,3:40:49,PM,2,6,SBBHHCW
5/17/2023,3:41:10,PM,0,0,SBBHHCV
5/17/2023,3:41:10,PM,0,1,SBBHHCT
5/17/2023,3:41:10,PM,0,2,SBBHHCS
5/17/2023,3:41:10,PM,0,3,SBBHHCR
5/17/2023,3:41:10,PM,0,4,SBBHHCP
5/17/2023,3:41:10,PM,0,5,SBBHHCN
5/17/2023,3:41:11,PM,0,6,SBBHHCM
5/17/2023,3:41:11,PM,0,7,SBBHHCL
5/17/2023,3:41:11,PM,0,8,SBBHHCK
5/17/2023,3:41:11,PM,0,9,SBBHHCJ
5/17/2023,3:41:11,PM,1,0,SBBHHCH
5/17/2023,3:41:12,PM,1,1,SBBHHCG
5/17/2023,3:41:24,PM,1,2,SBBHHCF
5/17/2023,3:41:25,PM,1,3,SBBHHCD
5/17/2023,3:41:25,PM,1,4,SBBHHCC
5/17/2023,3:41:25,PM,1,5,SBBHHCB
5/17/2023,3:41:25,PM,1,6,SBBHHB9
5/17/2023,3:41:25,PM,1,7,SBBHHB8
5/17/2023,3:41:25,PM,1,8,SBBHHB7
5/17/2023,3:41:26,PM,1,9,SBBHHB6
5/17/2023,3:41:26,PM,2,0,SBBHHB5
5/17/2023,3:41:26,PM,2,1,SBBHHB4
5/17/2023,3:41:26,PM,2,2,SBBHHB3
5/17/2023,3:41:26,PM,2,3,SBBHHB2
5/17/2023,3:41:26,PM,2,4,SBBHHB1
5/17/2023,3:41:27,PM,2,5,SBBHHB0
5/17/2023,3:41:27,PM,2,6,SBBHHBZ
5/17/2023,3:41:27,PM,2,7,SBBHHBW
5/17/2023,3:41:27,PM,2,8,SBBHHBV
5/17/2023,3:41:27,PM,2,9,SBBHHBT
5/17/2023,3:41:28,PM,3,0,SBBHHBS
5/17/2023,3:41:28,PM,3,1,SBBHHBR
5/17/2023,3:41:28,PM,3,2,SBBHHBP
5/17/2023,3:41:28,PM,3,3,SBBHHBN
5/17/2023,3:41:28,PM,3,4,SBBHHBM
5/17/2023,3:41:28,PM,3,5,SBBHHBL
5/17/2023,3:41:29,PM,3,6,SBBHHBK
5/17/2023,3:41:29,PM,3,7,SBBHHBJ
5/17/2023,3:41:29,PM,3,8,SBBHHBH
5/17/2023,3:41:29,PM,3,9,SBBHHBG
5/17/2023,3:41:29,PM,4,0,SBBHHBF
5/17/2023,3:41:30,PM,4,1,SBBHHBD
5/17/2023,3:41:30,PM,4,2,SBBHHBC
5/17/2023,3:41:30,PM,4,3,SBBHHBB
5/17/2023,3:41:30,PM,4,4,SBBHG99
5/17/2023,3:41:30,PM,4,5,SBBHG98
5/17/2023,3:41:30,PM,4,6,SBBHG97
5/17/2023,3:41:31,PM,4,7,SBBHG96
5/17/2023,3:41:31,PM,4,8,SBBHG95
5/17/2023,3:41:31,PM,4,9,SBBHG94
5/17/2023,3:41:31,PM,5,0,SBBHG93
5/17/2023,3:41:31,PM,5,1,SBBHG92
5/17/2023,3:41:32,PM,5,2,SBBHG91
5/17/2023,3:41:32,PM,5,3,SBBHHBC
5/17/2023,3:41:32,PM,5,4,SBBHHBB
5/17/2023,3:41:32,PM,5,5,SBBHG99
5/17/2023,3:41:32,PM,5,6,SBBHG98
5/17/2023,3:41:32,PM,5,7,SBBHG97
5/17/2023,3:41:33,PM,5,8,SBBHG96
5/17/2023,3:41:33,PM,5,9,SBBHG95
5/17/2023,3:41:33,PM,6,0,SBBHG94
5/17/2023,3:41:33,PM,6,1,SBBHG93
5/17/2023,3:41:33,PM,6,2,SBBHG92
5/17/2023,3:41:33,PM,6,3,SBBHG91
5/17/2023,3:42:48,PM,5,0,SBBHG35
5/17/2023,3:42:48,PM,5,1,SBBHG34
5/17/2023,3:42:48,PM,5,2,SBBHG33
5/17/2023,3:42:48,PM,5,3,SBBHG32
5/17/2023,3:42:48,PM,5,4,SBBHG31
5/17/2023,3:42:49,PM,5,5,SBBHG30
5/17/2023,3:42:49,PM,5,6,SBBHG3Z
5/17/2023,3:42:49,PM,5,7,SBBHG3W
5/17/2023,3:42:49,PM,5,8,SBBHG3V
5/17/2023,3:42:49,PM,5,9,SBBHG3T
5/17/2023,3:42:49,PM,6,0,SBBHG3S
5/17/2023,3:42:50,PM,6,1,SBBHG3R
5/17/2023,3:42:50,PM,6,2,SBBHG3P
5/17/2023,3:42:50,PM,6,3,SBBHG3N
5/17/2023,3:42:50,PM,6,4,SBBHG3M
5/17/2023,3:42:50,PM,6,5,SBBHG3L
5/17/2023,3:42:50,PM,6,6,SBBHG3K
5/17/2023,3:42:51,PM,6,7,SBBHG3J
5/17/2023,3:42:51,PM,6,8,SBBHG3H
5/17/2023,3:42:51,PM,6,9,SBBHG3G
5/17/2023,3:42:51,PM,7,0,SBBHG3F
5/17/2023,3:42:51,PM,7,1,SBBHG3D
5/17/2023,3:42:52,PM,7,2,SBBHG3C
5/17/2023,3:42:52,PM,7,3,SBBHG3B
5/17/2023,3:42:52,PM,7,4,SBBHG29
5/17/2023,3:42:52,PM,7,5,SBBHG28
5/17/2023,3:42:52,PM,7,6,SBBHG27
5/17/2023,3:42:52,PM,7,7,SBBHG26
5/17/2023,3:42:53,PM,7,8,SBBHG24
5/17/2023,3:42:53,PM,7,9,SBBHG23
5/17/2023,3:46:10,PM,0,1,SBBHG22
5/17/2023,3:46:10,PM,0,2,SBBHG21
5/17/2023,3:46:11,PM,0,3,SBBHG2W
5/17/2023,3:46:11,PM,0,4,SBBHG2V
5/17/2023,3:46:11,PM,0,5,SBBHG2K
5/17/2023,3:46:11,PM,0,6,SBBHG2D
5/17/2023,3:46:11,PM,0,7,SBBHG2B
5/17/2023,3:46:11,PM,0,8,SBBHG19
5/17/2023,3:46:12,PM,0,9,SBBHG18
5/17/2023,3:46:12,PM,1,0,SBBHG17
5/17/2023,3:46:12,PM,1,1,SBBHG16
5/17/2023,3:46:12,PM,1,2,SBBHG15
5/17/2023,3:46:12,PM,1,3,SBBHG14
5/17/2023,3:46:13,PM,1,4,SBBHG13
5/17/2023,3:46:13,PM,1,5,SBBHG12
5/17/2023,3:46:13,PM,1,6,SBBHG11
5/17/2023,3:46:13,PM,1,7,SBBHG10
5/17/2023,3:46:13,PM,1,8,SBBHG1Z
5/17/2023,3:46:14,PM,1,9,SBBHG1W
5/17/2023,3:46:14,PM,2,0,SBBHG1V
5/17/2023,3:46:14,PM,2,1,SBBHG1T
5/17/2023,3:46:14,PM,2,2,SBBHG1S
5/17/2023,3:46:14,PM,2,3,SBBHG1R
5/17/2023,3:46:14,PM,2,4,SBBHG1P
5/17/2023,3:46:15,PM,2,5,SBBHG1N
5/17/2023,3:46:15,PM,2,6,SBBHG1M
5/17/2023,3:46:15,PM,2,7,SBBHG1L
5/17/2023,3:46:15,PM,2,8,SBBHG1K
5/17/2023,3:46:15,PM,2,9,SBBHG1J
5/17/2023,3:46:15,PM,3,0,SBBHG1H
5/17/2023,3:46:16,PM,3,1,SBBHG1G
5/17/2023,3:46:16,PM,3,2,SBBHG1F
5/17/2023,3:46:16,PM,3,3,SBBHG1D
5/17/2023,3:46:16,PM,3,4,SBBHG1C
